vote20jb,apppres5,taxecon,billtax,trade2,trade4,richpoor2,immignum,refugees,dreamer,wall5,pathway,famsep,freecol,diversity5,gw1,gw2,prek,science,rr2,age,gender,educ,marstat,race,employ,faminc_new,ideology,party_id,vote16post,religpew,region,pk_cjus_correct,pk_germ_correct,pk_sen,pk_spend,compl_data$weight,ability
1,1,1,7,2,2,5,5,7,1,1,4,2,7,0,5,5,7,1,5,65,1,four_yr_college,married,native_american,retired,11,very conservative,republican,trump,mormon,midwest,1,1,1,1,0.663904537696459,0.9023112506587095
1,1,1,7,1,1,5,7,2,1,1,4,1,7,0,5,5,4,4,2,82,1,high_school,married,white,retired,3,very conservative,republican,trump,christian,northeast,1,1,1,0,0.878328109180257,0.9023112506587095
2,0,4,4,3,3,3,1,1,2,0,1,5,6,1,2,1,2,5,1,40,0,four_yr_college,never_married,black,full_time,8,very_liberal,democrat,clinton,no_rel,south,1,1,1,1,1.2643077984045,0.9023112506587095
2,0,4,1,4,4,2,4,4,2,1,2,5,2,1,1,1,1,2,2,65,0,some_college,divorced,white,part_time,3,liberal,democrat,clinton,no_rel,midwest,0,0,0,1,1.03170391458116,-1.0952751615565093
1,1,1,6,2,2,4,5,4,1,1,2,2,7,0,4,5,5,3,5,69,1,high_school,married,white,retired,2,conservative,republican,trump,no_rel,south,0,0,0,0,0.971402016649825,-1.0952751615565093
1,1,1,2,2,4,3,5,4,2,1,2,4,6,1,4,2,4,1,4,72,0,two_yr_college,divorced,white,retired,2,very conservative,republican,trump,christian,west,0,1,0,0,0.939321412825532,-0.3254948128884364
2,0,4,4,3,2,3,4,4,2,1,2,5,5,1,1,1,3,4,2,76,1,some_college,civil,white,retired,6,moderate,democrat,clinton,christian,south,1,1,0,0,0.88916489741815,0.3765651044139333
1,1,2,7,4,3,5,4,4,1,1,1,3,7,0,5,3,7,2,5,39,0,four_yr_college,widowed,white,full_time,6,conservative,republican,trump,christian,northeast,1,1,0,0,1.02274263069667,0.3765651044139333
2,0,7,1,4,4,1,2,1,2,0,1,5,2,1,1,1,1,5,2,75,0,four_yr_college,widowed,mixed,retired,2,very_liberal,democrat,clinton,other_rel,west,1,1,1,0,1.01184109114119,0.9023112506587095
1,1,1,6,2,2,4,4,2,2,1,2,5,7,0,4,1,7,3,2,68,1,post_grad,married,hispanic,full_time,8,conservative,independent,trump,mormon,midwest,1,1,1,0,0.537829830869615,0.9023112506587095
1,1,3,2,2,1,3,6,7,2,0,2,5,2,0,3,3,1,1,3,38,0,some_college,married,black,full_time,4,moderate,democrat,trump,christian,south,0,0,0,0,0.684543115579765,-1.0952751615565093
2,0,4,2,3,2,4,4,1,2,0,1,5,7,1,2,1,6,5,3,79,0,high_school,widowed,white,retired,4,moderate,republican,trump,christian,northeast,0,0,1,0,0.968155932229058,-0.6196132327347812
2,0,5,4,3,2,5,4,1,2,0,2,5,3,1,1,1,1,5,2,81,0,four_yr_college,widowed,hispanic,retired,6,very_liberal,democrat,clinton,no_rel,west,1,1,1,0,0.749070570522022,0.9023112506587095
2,0,7,2,1,1,2,1,1,2,0,1,5,2,1,1,1,1,4,1,54,1,post_grad,divorced,black,full_time,3,moderate,democrat,clinton,christian,south,1,1,1,1,0.933382507604407,0.9023112506587095
1,1,1,7,1,2,3,4,3,2,1,2,3,7,0,5,4,7,4,4,75,1,high_school,married,white,retired,9,conservative,independent,trump,christian,midwest,1,1,1,1,0.971402016649825,0.9023112506587095
2,0,3,2,3,2,2,3,1,2,0,1,5,5,1,1,1,1,2,2,74,0,post_grad,widowed,white,retired,8,liberal,democrat,clinton,no_rel,south,1,1,1,1,1.1549066711491,0.9023112506587095
1,1,4,7,2,2,3,5,3,2,1,3,3,4,0,3,3,3,1,4,75,0,high_school,married,white,retired,7,conservative,republican,trump,no_rel,midwest,0,0,0,0,0.929783697332345,-1.0952751615565093
1,1,1,7,2,1,5,7,7,1,1,2,1,7,0,5,3,7,2,5,79,1,high_school,married,white,retired,13,very conservative,republican,trump,christian,south,1,1,0,1,0.878328109180257,0.3765651044139333
1,1,1,7,1,1,5,6,6,2,1,5,3,7,0,4,4,6,3,5,83,1,post_grad,married,white,retired,10,very conservative,republican,trump,christian,south,1,1,1,1,0.817754440786381,0.9023112506587095
2,0,7,1,4,2,1,2,2,2,0,1,5,2,1,1,1,1,5,4,74,1,post_grad,married,white,retired,11,liberal,democrat,clinton,no_rel,south,1,1,1,0,0.826789085004023,0.9023112506587095
2,0,7,1,4,1,2,2,2,2,0,2,5,4,1,1,1,2,4,2,76,1,four_yr_college,married,white,retired,12,moderate,democrat,clinton,no_rel,south,0,1,1,0,1.02441840964603,-0.11351814869798042
1,1,4,3,3,3,3,4,6,2,0,2,3,7,0,5,4,7,3,4,72,1,four_yr_college,married,white,retired,8,moderate,republican,trump,no_rel,west,0,1,1,0,0.904529295661614,-0.11351814869798042
1,1,1,4,1,1,4,4,4,2,1,1,3,7,0,1,2,7,3,2,79,1,four_yr_college,married,white,retired,6,conservative,republican,trump,no_rel,west,0,1,1,1,0.947312929381105,-0.11351814869798042
1,1,1,7,2,1,5,4,4,2,1,5,4,7,1,5,5,4,5,5,82,1,some_college,married,white,retired,8,very conservative,republican,trump,other_rel,west,1,1,1,1,0.915515272952024,0.9023112506587095
1,1,3,7,2,2,5,6,6,1,1,5,2,7,1,4,3,7,2,5,62,1,four_yr_college,married,native_american,retired,6,very conservative,republican,trump,christian,west,1,0,1,0,0.663904537696459,0.0695224553430114
1,1,2,6,2,1,5,4,5,2,1,2,2,7,1,5,1,6,4,4,78,1,two_yr_college,married,white,part_time,11,moderate,republican,trump,no_rel,west,1,1,1,0,0.928713753877035,0.9023112506587095
1,1,1,7,2,1,4,3,6,2,1,2,3,7,1,2,2,7,2,3,70,0,some_college,married,white,retired,8,very conservative,republican,trump,christian,south,1,1,1,1,0.964187113748541,0.9023112506587095
1,1,1,7,1,1,5,6,3,1,1,4,4,7,0,5,3,6,3,4,73,0,four_yr_college,married,white,retired,6,very conservative,republican,trump,christian,midwest,1,1,1,1,0.958801780636491,0.9023112506587095
2,0,3,3,4,2,2,4,4,2,0,2,5,3,1,2,1,4,4,3,63,1,high_school,divorced,white,full_time,6,moderate,independent,clinton,no_rel,northeast,1,1,1,0,0.897550307642941,0.9023112506587095
2,0,4,2,3,3,3,4,2,2,0,2,5,3,1,1,1,2,4,2,69,0,post_grad,married,white,retired,7,very_liberal,democrat,clinton,christian,midwest,1,1,0,0,1.02996454702489,0.3765651044139333
1,1,1,3,2,2,5,4,4,2,1,1,3,7,0,5,5,7,1,4,74,1,some_college,divorced,white,retired,9,conservative,republican,trump,christian,west,1,1,1,0,0.891904784237684,0.9023112506587095
3,1,5,3,2,2,3,3,1,2,1,4,5,6,1,2,1,1,2,4,75,1,post_grad,married,white,retired,13,conservative,republican,other,christian,west,1,1,1,1,0.512936867758038,0.9023112506587095
4,0,6,2,3,2,1,4,3,2,0,1,5,2,1,1,1,1,4,2,61,1,high_school,married,asian,full_time,5,moderate,democrat,no_vote,christian,northeast,1,1,0,1,0.720153136814894,0.3765651044139333
3,0,4,4,3,2,3,4,4,2,0,3,3,5,0,3,3,4,3,3,69,1,four_yr_college,widowed,black,retired,2,moderate,independent,no_vote,no_rel,midwest,0,0,1,0,0.867551854990782,-0.6196132327347812
1,1,2,7,2,1,5,5,6,2,1,1,4,7,0,3,4,2,2,5,74,1,high_school,married,white,retired,4,moderate,republican,trump,christian,midwest,1,1,0,1,0.971402016649825,0.3765651044139333
1,1,2,4,2,2,5,6,3,2,1,5,4,7,0,3,4,7,4,3,67,1,some_college,married,white,retired,5,conservative,republican,trump,christian,northeast,1,1,1,1,0.891904784237684,0.9023112506587095
1,1,3,6,5,3,5,2,3,2,1,5,5,7,1,4,5,4,5,3,62,0,post_grad,divorced,mixed,full_time,3,moderate,independent,other,christian,midwest,1,1,1,0,0.484534611013226,0.9023112506587095
1,1,2,2,4,2,3,5,4,1,1,2,4,7,0,2,4,6,3,2,65,1,high_school,never_married,white,full_time,5,conservative,republican,trump,christian,midwest,0,1,0,0,0.847649185791497,-0.3254948128884364
2,0,6,1,3,4,1,3,2,2,0,1,5,3,1,1,1,3,4,2,75,0,four_yr_college,married,white,retired,9,very_liberal,democrat,clinton,no_rel,west,1,1,1,1,1.01524645761951,0.9023112506587095
2,0,3,5,3,2,2,4,2,2,0,2,5,1,0,1,1,1,3,4,77,0,high_school,divorced,white,retired,5,moderate,democrat,clinton,jewish,northeast,0,0,0,0,1.02515128827396,-1.0952751615565093
1,1,1,7,1,1,5,6,7,1,1,5,3,7,0,5,5,7,3,5,69,1,four_yr_college,married,white,part_time,6,very conservative,republican,trump,christian,west,1,1,1,0,1.12080996836952,0.9023112506587095
4,0,4,2,3,3,2,4,4,2,0,3,4,4,0,3,2,4,3,1,72,0,high_school,married,black,retired,6,moderate,independent,no_vote,christian,midwest,0,0,0,0,1.63859922992978,-1.0952751615565093
3,0,5,1,3,1,2,2,1,2,0,2,5,2,1,1,1,1,5,2,73,0,four_yr_college,married,white,retired,6,very_liberal,democrat,clinton,christian,south,1,1,1,1,1.06326693941721,0.9023112506587095
2,0,4,4,4,2,3,3,2,2,0,2,3,5,1,1,1,2,4,1,89,0,post_grad,widowed,white,retired,12,liberal,democrat,clinton,christian,west,0,1,1,1,1.02996454702489,-0.11351814869798042
1,1,2,5,3,1,5,5,3,2,1,2,4,7,0,4,3,5,2,4,84,0,four_yr_college,married,white,retired,9,conservative,republican,trump,christian,south,1,1,1,0,1.00415246677689,0.9023112506587095
2,0,3,4,3,2,3,5,4,1,0,3,5,5,0,1,1,4,3,3,67,0,high_school,divorced,white,disabled,2,liberal,democrat,clinton,no_rel,south,0,0,0,0,1.02515128827396,-1.0952751615565093
1,1,2,5,4,2,3,7,6,1,1,3,4,7,0,2,1,6,2,4,70,0,high_school,widowed,white,retired,2,conservative,democrat,trump,christian,south,0,0,0,0,0.968155932229058,-1.0952751615565093
1,1,2,7,2,1,5,6,4,1,1,3,4,7,0,4,1,7,2,3,80,0,high_school,married,white,retired,3,conservative,republican,trump,christian,midwest,1,0,1,0,0.929783697332345,0.0695224553430114
1,1,6,2,4,4,2,7,7,1,1,5,3,7,0,3,1,4,3,4,71,0,high_school,married,white,retired,6,very conservative,republican,trump,christian,south,1,1,1,0,0.954396916008379,0.9023112506587095
1,1,1,2,1,2,3,6,4,1,1,5,1,5,0,3,3,3,4,1,77,0,some_college,widowed,black,retired,7,very conservative,republican,trump,christian,south,1,1,0,1,0.999047189556699,0.3765651044139333
1,1,3,1,3,4,2,7,4,1,1,2,3,7,0,1,1,4,3,3,75,0,high_school,married,white,retired,3,conservative,republican,trump,christian,west,0,1,0,0,0.929783697332345,-0.3254948128884364
3,0,4,6,1,1,3,3,2,2,1,4,4,3,0,4,3,2,2,1,29,1,post_grad,married,white,full_time,6,liberal,democrat,other,christian,south,0,0,0,0,0.512553308873863,-1.0952751615565093
2,0,7,1,5,1,1,2,1,2,0,1,5,1,1,1,1,1,5,1,69,0,post_grad,divorced,white,retired,4,liberal,democrat,clinton,christian,west,1,1,1,0,1.12291843396482,0.9023112506587095
1,1,2,1,4,3,1,4,2,2,1,1,5,2,1,1,1,4,4,2,74,0,some_college,divorced,white,part_time,3,conservative,republican,trump,christian,northeast,1,0,1,0,0.978087269873647,0.0695224553430114
2,0,6,1,4,3,1,4,2,2,0,2,5,3,0,1,1,2,5,2,74,1,high_school,married,white,retired,8,moderate,democrat,clinton,no_rel,midwest,1,1,1,1,1.02858846973928,0.9023112506587095
1,1,3,4,2,2,3,5,5,2,1,2,3,1,0,2,2,1,3,3,48,0,four_yr_college,married,hispanic,full_time,3,conservative,republican,clinton,christian,south,0,0,0,0,1.16081841289456,-1.0952751615565093
4,0,4,6,4,3,3,6,4,2,0,2,2,2,1,1,2,1,1,2,30,0,post_grad,married,hispanic,full_time,10,very conservative,independent,clinton,christian,south,0,0,0,0,1.23759485564508,-1.0952751615565093
4,1,3,4,3,3,4,4,4,2,1,2,4,4,0,3,1,4,3,4,65,0,some_college,never_married,white,retired,3,moderate,independent,no_vote,no_rel,south,1,1,1,1,0.943888008360966,0.9023112506587095
1,1,4,5,3,4,5,7,7,1,1,5,3,7,0,5,5,7,3,4,66,0,two_yr_college,widowed,white,other_empl,6,conservative,republican,trump,christian,south,1,1,1,0,0.964187113748541,0.9023112506587095
1,1,1,2,2,1,2,7,4,1,1,5,3,4,0,3,3,4,3,1,81,0,high_school,married,white,retired,4,conservative,republican,trump,christian,south,0,0,0,0,0.954396916008379,-1.0952751615565093
2,0,7,4,3,2,1,6,4,2,0,3,5,1,1,1,1,1,5,1,51,0,some_college,never_married,black,unemployed,1,very_liberal,democrat,clinton,no_rel,south,1,1,1,1,0.884818557089412,0.9023112506587095
1,1,4,4,3,2,2,3,3,1,1,1,2,2,1,1,2,2,2,2,29,1,four_yr_college,married,white,student,9,very conservative,democrat,trump,mormon,west,0,0,0,0,1.02692373072857,-1.0952751615565093
2,0,6,2,3,2,2,4,1,2,0,2,5,4,1,1,2,1,5,1,27,0,four_yr_college,never_married,white,full_time,4,liberal,democrat,clinton,other_rel,west,0,0,0,1,1.28631448971959,-1.0952751615565093
3,0,6,1,4,4,1,4,2,2,0,2,5,3,0,1,2,3,4,4,39,0,four_yr_college,divorced,white,full_time,4,conservative,republican,clinton,christian,northeast,0,0,0,0,1.08295150660022,-1.0952751615565093
3,0,4,4,3,3,1,4,1,2,0,3,5,2,1,1,1,4,4,1,32,0,four_yr_college,never_married,black,unemployed,5,very_liberal,democrat,clinton,no_rel,midwest,0,0,0,0,1.2643077984045,-1.0952751615565093
2,0,7,1,2,2,1,4,3,2,0,1,5,3,1,2,1,2,5,2,71,1,post_grad,married,white,homemaker,4,moderate,independent,no_vote,christian,west,1,1,1,1,0.886078329105804,0.9023112506587095
1,1,1,4,2,1,5,4,3,2,1,2,4,4,1,5,2,7,2,4,70,1,post_grad,married,white,full_time,13,conservative,republican,trump,christian,northeast,1,1,1,0,0.862853007457012,0.9023112506587095
2,1,3,4,2,2,2,3,2,1,1,1,1,3,1,2,1,4,3,3,32,0,no_hs,civil,hispanic,student,1,very conservative,democrat,no_vote,christian,south,0,0,0,1,0.750759633752783,-1.0952751615565093
4,0,4,4,3,3,3,4,4,2,0,3,3,4,0,3,3,4,3,3,26,0,high_school,never_married,white,homemaker,4,moderate,independent,no_vote,no_rel,northeast,0,0,0,0,1.08673596743961,-1.0952751615565093
1,1,1,6,1,1,5,4,6,1,1,4,2,7,0,4,4,3,3,5,76,1,high_school,married,hispanic,retired,11,conservative,republican,trump,christian,northeast,1,1,1,0,1.53150473801671,0.9023112506587095
4,0,1,1,4,4,1,6,5,2,0,1,5,4,1,1,1,1,5,5,68,0,high_school,married,white,homemaker,3,conservative,independent,no_vote,christian,northeast,1,1,1,0,0.875772471178101,0.9023112506587095
2,0,5,2,2,1,2,2,1,2,0,1,5,2,1,1,1,1,5,3,72,0,some_college,widowed,white,retired,7,liberal,democrat,clinton,christian,south,1,1,0,0,1.02094882538262,0.3765651044139333
3,0,6,2,4,3,3,4,4,2,0,1,5,4,0,1,3,1,3,2,79,0,post_grad,married,hispanic,retired,9,moderate,democrat,clinton,christian,west,0,0,0,0,1.04218514159586,-1.0952751615565093
4,0,5,1,4,2,3,4,4,2,0,3,3,1,0,1,1,4,5,2,22,0,some_college,civil,white,full_time,5,very_liberal,democrat,clinton,no_rel,midwest,0,1,0,0,1.08428147456979,-0.3254948128884364
4,0,2,3,3,4,5,2,1,2,0,1,5,7,0,2,1,5,1,2,66,0,four_yr_college,married,white,retired,5,moderate,independent,no_vote,christian,south,0,0,0,0,0.945821151512883,-1.0952751615565093
2,0,5,1,4,2,2,4,2,2,0,2,4,5,0,1,1,3,4,4,68,1,post_grad,married,white,retired,9,moderate,democrat,clinton,jewish,northeast,1,1,1,0,0.913649178546107,0.9023112506587095
4,0,4,3,3,4,2,4,4,2,0,1,5,2,1,2,2,1,2,2,19,1,some_college,never_married,hispanic,unemployed,3,liberal,democrat,no_vote,no_rel,south,0,0,0,0,1.4594537392949,-1.0952751615565093
3,0,4,4,3,2,3,4,4,2,0,2,4,6,0,2,2,4,3,3,66,0,some_college,never_married,white,retired,3,moderate,independent,clinton,no_rel,midwest,1,1,0,1,0.994619280227256,0.3765651044139333
3,0,4,1,3,2,1,3,2,2,0,1,5,1,1,1,1,1,3,2,27,0,two_yr_college,never_married,white,part_time,6,very_liberal,democrat,other,no_rel,midwest,0,1,1,0,0.608732494258821,-0.11351814869798042
2,0,4,1,2,2,2,3,1,2,0,2,5,2,1,1,1,1,5,2,71,1,post_grad,divorced,white,retired,6,very_liberal,democrat,clinton,no_rel,west,1,1,1,1,0.996105650169966,0.9023112506587095
2,0,7,3,3,2,3,1,2,2,0,2,5,4,1,1,1,1,4,2,68,0,post_grad,widowed,white,retired,7,moderate,independent,clinton,no_rel,northeast,1,1,1,1,1.02996454702489,0.9023112506587095
1,1,2,4,2,2,3,3,3,2,1,2,5,7,0,4,2,4,1,4,73,0,some_college,married,white,retired,6,conservative,republican,trump,christian,northeast,0,1,1,0,0.978087269873647,-0.11351814869798042
2,0,4,1,3,4,5,3,2,2,0,2,5,3,1,1,1,2,5,1,23,0,four_yr_college,never_married,asian,full_time,4,liberal,democrat,no_vote,no_rel,northeast,1,0,1,1,0.77435239235677,0.0695224553430114
3,0,2,7,1,1,2,3,3,2,0,1,5,4,1,1,1,1,5,2,74,0,post_grad,never_married,white,retired,4,moderate,democrat,clinton,christian,west,0,0,0,0,1.12291843396482,-1.0952751615565093
2,0,6,5,4,4,2,4,3,2,0,1,5,3,0,1,1,4,5,3,76,0,four_yr_college,married,white,retired,6,moderate,democrat,clinton,no_rel,west,1,1,1,1,1.01524645761951,0.9023112506587095
2,0,7,2,5,1,2,2,2,2,0,2,5,6,0,1,2,1,4,4,66,1,high_school,married,native_american,retired,3,moderate,democrat,clinton,no_rel,south,1,1,1,1,1.54472256124704,0.9023112506587095
2,0,5,6,4,1,1,2,1,2,0,1,5,3,1,1,1,2,3,1,67,0,post_grad,divorced,white,retired,2,liberal,democrat,other,other_rel,south,1,1,0,0,0.648382578742927,0.3765651044139333
1,1,1,6,2,2,4,6,6,1,1,5,2,7,0,5,5,7,3,5,62,0,post_grad,divorced,white,retired,6,conservative,republican,trump,christian,south,1,1,1,0,0.746904935636401,0.9023112506587095
2,0,5,1,4,2,2,3,1,2,0,2,5,1,1,1,1,1,5,1,66,0,post_grad,married,white,retired,11,liberal,democrat,clinton,no_rel,west,1,1,1,0,1.12291843396482,0.9023112506587095
1,1,1,7,3,2,5,4,3,2,1,4,5,7,0,4,2,6,3,5,69,0,four_yr_college,married,white,homemaker,11,very conservative,republican,trump,christian,midwest,1,1,1,1,0.958801780636491,0.9023112506587095
2,0,6,1,4,1,1,4,3,2,0,2,5,2,0,1,1,2,5,1,77,1,two_yr_college,widowed,white,retired,4,moderate,democrat,clinton,no_rel,midwest,0,1,1,1,0.969411672498232,-0.11351814869798042
3,0,7,1,3,2,1,4,1,2,0,1,5,1,1,1,1,1,4,1,62,1,four_yr_college,divorced,white,disabled,2,liberal,democrat,clinton,christian,west,0,0,1,0,1.18015681611182,-0.6196132327347812
2,0,6,2,4,2,1,3,2,2,0,2,2,4,1,1,1,2,4,1,65,1,two_yr_college,civil,black,retired,10,moderate,independent,clinton,christian,south,1,1,1,1,0.693651696324809,0.9023112506587095
1,1,2,4,2,2,3,5,3,2,1,4,3,4,0,4,3,6,1,3,60,1,two_yr_college,married,white,retired,6,moderate,democrat,trump,christian,south,1,0,0,1,0.820011188995185,-0.1442940187936165
2,0,6,1,4,1,1,3,2,2,0,1,5,2,1,1,1,1,4,1,70,1,two_yr_college,married,black,retired,4,moderate,democrat,no_vote,christian,south,1,1,1,0,1.04281941711299,0.9023112506587095
3,0,5,1,5,3,1,4,4,2,0,1,5,2,0,1,2,2,4,2,74,1,two_yr_college,divorced,white,retired,2,moderate,independent,other,no_rel,midwest,0,1,1,0,0.552088849248439,-0.11351814869798042
1,1,2,5,2,2,4,6,3,1,1,4,5,7,0,2,3,3,4,2,89,0,post_grad,widowed,white,retired,3,very conservative,republican,trump,christian,south,1,1,1,0,0.880227416523168,0.9023112506587095
1,1,2,3,2,2,5,4,2,2,1,2,5,7,0,5,3,7,2,4,69,0,post_grad,married,white,retired,4,very conservative,republican,trump,christian,south,1,1,1,0,1.09069730256741,0.9023112506587095
2,0,5,1,5,4,1,5,4,1,0,2,5,3,0,1,1,3,4,1,67,0,post_grad,widowed,black,retired,5,moderate,democrat,trump,christian,south,1,1,0,0,0.61252801267149,0.3765651044139333
3,0,1,2,5,2,4,4,2,2,1,2,5,7,1,2,2,4,4,2,62,1,no_hs,divorced,white,full_time,8,moderate,independent,trump,no_rel,west,1,1,1,0,0.954805103801955,0.9023112506587095
1,1,3,4,2,2,5,5,5,2,1,5,3,7,0,4,4,4,2,5,61,1,high_school,married,white,full_time,10,very conservative,republican,trump,no_rel,northeast,1,1,1,0,0.829993880619484,0.9023112506587095
2,0,4,1,4,2,2,4,2,2,0,2,5,5,1,2,2,3,4,3,40,1,some_college,never_married,white,full_time,13,moderate,independent,clinton,other_rel,midwest,1,1,1,0,1.05546596271457,0.9023112506587095
1,1,4,5,4,2,4,4,5,2,1,4,2,7,1,5,4,7,1,4,29,0,two_yr_college,married,white,part_time,9,very conservative,republican,trump,christian,west,1,1,1,0,1.02399865641126,0.9023112506587095
1,1,1,7,1,1,5,7,7,1,1,2,2,7,0,5,5,7,1,5,63,1,four_yr_college,married,mixed,retired,6,very_liberal,republican,clinton,no_rel,west,1,1,1,1,0.702988609018232,0.9023112506587095
2,0,7,1,4,4,1,1,1,2,0,1,5,1,1,1,1,1,5,1,42,0,post_grad,married,white,full_time,8,very_liberal,democrat,clinton,no_rel,south,1,1,1,1,1.15605850208199,0.9023112506587095
1,1,1,7,2,2,5,4,6,1,1,3,3,7,0,5,5,7,3,5,70,1,two_yr_college,married,white,retired,7,very conservative,republican,trump,christian,west,1,1,1,0,0.891904784237684,0.9023112506587095
1,1,1,6,2,2,5,6,7,2,1,5,4,7,0,4,2,7,1,5,66,0,high_school,married,white,retired,9,conservative,republican,trump,christian,northeast,1,1,0,0,0.929783697332345,0.3765651044139333
1,1,2,6,4,3,4,4,4,2,1,4,3,7,0,3,2,4,3,4,73,0,some_college,married,white,retired,3,conservative,republican,trump,christian,northeast,1,1,1,0,0.978087269873647,0.9023112506587095
1,1,1,6,2,1,5,4,2,2,1,2,4,7,0,4,2,2,3,4,73,1,some_college,married,white,retired,6,very conservative,republican,trump,christian,south,1,1,1,0,0.915515272952024,0.9023112506587095
1,1,1,5,2,2,4,5,5,2,1,3,3,7,0,4,4,5,2,4,67,1,two_yr_college,married,white,retired,7,very conservative,independent,trump,christian,south,1,1,1,1,0.928713753877035,0.9023112506587095
1,1,1,6,2,1,5,4,6,2,1,5,5,7,0,4,2,7,5,2,70,1,post_grad,married,white,retired,12,conservative,republican,trump,christian,midwest,1,1,1,1,0.862853007457012,0.9023112506587095
2,0,4,2,3,2,2,2,4,1,0,2,3,2,0,3,3,1,3,2,66,1,four_yr_college,never_married,white,retired,5,very_liberal,democrat,clinton,christian,northeast,1,0,1,0,0.957778950539609,0.0695224553430114
2,0,6,3,3,2,2,2,1,2,0,1,5,4,1,1,2,1,5,1,23,0,four_yr_college,never_married,white,student,1,liberal,democrat,clinton,no_rel,midwest,1,1,0,0,1.34715630903953,0.3765651044139333
2,0,6,3,3,2,2,4,3,2,0,2,5,3,0,1,1,3,5,2,79,1,four_yr_college,widowed,white,retired,5,liberal,democrat,clinton,christian,south,1,1,1,0,1.02441840964603,0.9023112506587095
2,0,7,4,4,1,2,2,1,2,0,2,5,2,1,1,1,1,4,1,74,0,some_college,never_married,white,retired,3,liberal,democrat,clinton,christian,south,1,1,1,0,1.02094882538262,0.9023112506587095
2,0,6,2,4,2,2,3,1,2,0,1,5,3,1,1,1,2,4,2,69,0,post_grad,married,white,part_time,9,very_liberal,democrat,clinton,no_rel,northeast,1,1,1,0,1.02996454702489,0.9023112506587095
