"age","gender","education","ethnicity","income","partisanship","eu_ref","condition","ethnicity_simple","know","contact","worry","govt_perf","restrict","behavior","numeracy","trust","distrust"
20,"Male","A-level (or equivalent)","Pakistani","2","SNP","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,-0.476248804454124,-1.1353429071287,0.109008854862144,-1.49368278420392,0.653457304943914,6,0.231678464004934,-0.19002059566143
31,"Male","Undergraduate degree (e.g., BA)","Mixed","3","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.40656918917133,-0.758820588623685,-0.72988822364663,-0.61273521267665,5,-0.707567328547404,0.470034789417302
38,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","3","Labour","I voted Leave","control","Other",-0.346210927114368,0.460547865513442,0.242453320653121,0.499905767924618,-0.631210854979936,-0.61273521267665,3.66666666666667,0.170219160585156,-0.443944911404698
21,"Female","A-level (or equivalent)","Mixed","8","Liberal Democrats","I was not eligible to vote, but would have voted Leave","control","Other",0.478411095681547,-0.476248804454124,-0.247447914764378,-0.266041503411797,0.35076386178548,0.653457304943914,4.66666666666667,-0.707567328547404,-0.19002059566143
46,"Female","A-level (or equivalent)","Chinese","4","Labour","I voted Remain","control","Other",-0.346210927114368,0.460547865513442,-0.40656918917133,-0.711099143561654,0.35076386178548,-0.61273521267665,3,0.411588730106231,-0.163023990239364
23,"Male","Undergraduate degree (e.g., BA)","Pakistani","3","Liberal Democrats","I was eligible to vote, but did not","control","Other",-0.406090459737849,0.370704037623811,-1.60829096761465,0.141657406557449,-1.49368278420392,0.653457304943914,3,0.174875760452895,0.179364505373351
27,"Female","Undergraduate degree (e.g., BA)","Indian","5","Conservative Party","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,0.39131192602455,-0.266041503411797,0.35076386178548,1.23698157272214,5.66666666666667,-0.707567328547404,0.75147380203735
23,"Male","A-level (or equivalent)","Other","2","No party","I was not eligible to vote, but would have voted Leave","control","Other",0.478411095681547,-0.476248804454124,-1.97569903264372,-0.758820588623685,-0.836909460334576,-0.61273521267665,6,0.174875760452895,-0.163023990239364
35,"Female","A-level (or equivalent)","Indian","1","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,1.6137917861682,-0.304741160755354,0.35076386178548,-0.61273521267665,3.66666666666667,0.411588730106231,-2.01844301935556
20,"Male","A-level (or equivalent)","Black","1","Labour","I was not eligible to vote, but would have voted Remain","control","Other",-0.346210927114368,-0.476248804454124,0.542226157630451,-0.758820588623685,-0.836909460334576,1.23698157272214,5,-0.423893164514084,0.0841065831950797
39,"Male","GCSE (or equivalent)","Mixed","4","Labour","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,0.39131192602455,0.469453458655334,-0.836909460334576,-0.61273521267665,4.66666666666667,-0.423893164514084,-0.345794717072796
57,"Female","GCSE (or equivalent)","Black","3","No party","I was eligible to vote, but did not","control","Other",-1.86255051670098,-0.476248804454124,1.6137917861682,-0.266041503411797,0.35076386178548,-0.61273521267665,2.66666666666667,-0.423893164514084,0.75147380203735
19,"Male","Undergraduate degree (e.g., BA)","Mixed","1","Labour","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,0.460547865513442,0.0148571350245476,-0.266041503411797,-0.72988822364663,1.43641623760841,3,-0.423893164514084,-0.163023990239364
31,"Female","Undergraduate degree (e.g., BA)","Mixed","11","Labour","I voted Remain","control","Other",0.478411095681547,0.460547865513442,0.542226157630451,-1.43269617716106,0.35076386178548,0.653457304943914,3,-1.48030703646599,1.05140130502643
30,"Female","A-level (or equivalent)","Mixed","1","Labour","I voted Remain","control","Other",-0.346210927114368,0.460547865513442,0.980948052732125,-1.43269617716106,0.35076386178548,-0.61273521267665,3,-0.707567328547404,0.75147380203735
36,"Female","Undergraduate degree (e.g., BA)","Black","4","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,1.6137917861682,-0.266041503411797,0.35076386178548,-0.61273521267665,1.66666666666667,0.406649230431018,1.05140130502643
18,"Male","A-level (or equivalent)","Black","9","Labour","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,0.460547865513442,-1.03522129865336,0.80645351844387,0.35076386178548,0.653457304943914,6,0.352190160319605,-0.806158112485411
20,"Female","A-level (or equivalent)","Mixed","2","Liberal Democrats","I was not eligible to vote, but would have voted Remain","control","Other",-1.12485768652899,0.460547865513442,-0.68875631400841,0.499905767924618,0.35076386178548,1.23698157272214,4.66666666666667,0.00577532133344975,-0.229976772507822
40,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","10","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,0.0148571350245476,-0.758820588623685,-0.72988822364663,0.653457304943914,5.33333333333333,-0.171076826370267,0.151786008504716
35,"Male","Undergraduate degree (e.g., BA)","Indian","9","No party","I was eligible to vote, but did not","control","Other",-0.346210927114368,-0.476248804454124,-0.569873777763838,0.841543428125356,0.35076386178548,-0.61273521267665,5.66666666666667,0.174875760452895,-0.443944911404698
20,"Male","A-level (or equivalent)","Indian","7","Labour","I voted Leave","control","Other",-0.346210927114368,0.373599441351396,-0.68875631400841,0.841543428125356,-1.49368278420392,-0.61273521267665,5.33333333333333,0.906610295808507,-0.840650458004401
20,"Male","A-level (or equivalent)","Black","4","No party","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.569873777763838,0.841543428125356,-0.631210854979936,0.653457304943914,6,-0.171076826370267,-0.723456133636216
19,"Female","A-level (or equivalent)","Black","4","Labour","I was not eligible to vote, but would have voted Remain","control","Other",-0.346210927114368,-0.476248804454124,0.948385674243263,-1.43269617716106,-0.631210854979936,1.23698157272214,5.33333333333333,-1.23103345450765,2.01819117897551
23,"Male","Undergraduate degree (e.g., BA)","Indian","2","Conservative Party","I voted Leave","control","Other",-1.12485768652899,-0.476248804454124,0.13642880061627,1.27888711087707,-0.72988822364663,0.0954693109573851,4.66666666666667,1.2012493209256,-2.61545448327188
30,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","7","Green Party","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,0.948385674243263,-0.266041503411797,0.35076386178548,-0.61273521267665,4,1.2012493209256,-0.443944911404698
24,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Chinese","3","Liberal Democrats","I was eligible to vote, but did not","control","Other",0.478411095681547,-0.476248804454124,-0.569873777763838,-0.758820588623685,0.35076386178548,0.653457304943914,6,-0.707567328547404,0.75147380203735
28,"Female","Undergraduate degree (e.g., BA)","Black","6","Labour","I voted Remain","control","Other",-1.86255051670098,0.460547865513442,-0.377018540842986,-0.266041503411797,-0.72988822364663,-0.61273521267665,4,-0.429307084664128,2.01819117897551
27,"Female","Undergraduate degree (e.g., BA)","Black","4","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.40656918917133,0.141657406557449,0.35076386178548,-0.61273521267665,2,0.668590802306462,1.05140130502643
22,"Male","Undergraduate degree (e.g., BA)","Indian","9","Labour","I voted Remain","control","Other",0.478411095681547,0.460547865513442,-1.03522129865336,-0.758820588623685,0.35076386178548,1.23698157272214,6,0.411588730106231,-1.18753996348727
20,"Female","A-level (or equivalent)","Black","1","Labour","I voted Remain","control","Other",-1.12485768652899,-0.476248804454124,-0.377018540842986,0.109008854862144,0.35076386178548,0.653457304943914,0.333333333333333,-0.707567328547404,0.368309484450557
21,"Male","A-level (or equivalent)","Chinese","8","No party","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.164773287130284,0.469453458655334,0.35076386178548,0.653457304943914,5,0.906610295808507,-0.163023990239364
19,"Male","A-level (or equivalent)","Bangladeshi","4","Labour","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,-0.476248804454124,1.6137917861682,-0.266041503411797,0.35076386178548,-0.61273521267665,5.66666666666667,-0.707567328547404,2.01819117897551
30,"Female","Undergraduate degree (e.g., BA)","Mixed","8","No party","I was eligible to vote, but did not","control","Other",-0.406090459737849,-0.476248804454124,-0.569873777763838,0.469453458655334,-0.72988822364663,0.653457304943914,3.66666666666667,0.668590802306462,0.151786008504716
50,"Female","Undergraduate degree (e.g., BA)","Black","3","Conservative Party","I was eligible to vote, but did not","control","Other",-0.346210927114368,-0.476248804454124,-1.34535842401841,0.841543428125356,0.35076386178548,0.0954693109573851,4.33333333333333,0.174875760452895,0.0841065831950797
23,"Female","A-level (or equivalent)","Pakistani","1","No party","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,1.6137917861682,-1.43269617716106,-0.836909460334576,-0.61273521267665,1,-1.95680751435798,1.41486642440853
31,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","2","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-1.60829096761465,-0.711099143561654,-0.72988822364663,0.653457304943914,5.66666666666667,-1.57350052905171,-0.806158112485411
24,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Other","3","No party","I voted Remain","control","Other",0.478411095681547,0.460547865513442,-0.247447914764378,-0.266041503411797,0.35076386178548,-0.61273521267665,4,0.174875760452895,-0.163023990239364
22,"Female","A-level (or equivalent)","Bangladeshi","1","Labour","I was not eligible to vote, but would have voted Remain","control","Other",-1.12485768652899,-0.476248804454124,0.980948052732125,-0.758820588623685,0.35076386178548,-0.61273521267665,1.66666666666667,-1.00788596326447,-0.163023990239364
24,"Male","A-level (or equivalent)","Black","4","Labour","I voted Remain","control","Other",-1.1438648097804,-0.476248804454124,1.6137917861682,-0.266041503411797,0.35076386178548,0.275111599347801,5.33333333333333,-0.707567328547404,0.440481649117151
18,"Female","A-level (or equivalent)","Chinese","4","Conservative Party","I was not eligible to vote, but would have voted Leave","control","Other",0.478411095681547,-0.476248804454124,0.39131192602455,-0.711099143561654,0.35076386178548,-0.61273521267665,5,0.231678464004934,-1.18753996348727
26,"Female","Undergraduate degree (e.g., BA)","Other","3","No party","I voted Remain","control","Other",0.478411095681547,0.460547865513442,-1.34535842401841,0.109008854862144,0.35076386178548,-0.61273521267665,2.33333333333333,0.174875760452895,-0.163023990239364
21,"Female","A-level (or equivalent)","Mixed","4","Labour","I was not eligible to vote, but would not have voted","control","Other",0.478411095681547,-0.476248804454124,0.39131192602455,0.469453458655334,0.35076386178548,-0.61273521267665,3,0.174875760452895,0.179364505373351
24,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Chinese","2","No party","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.569873777763838,0.109008854862144,0.35076386178548,-0.61273521267665,4,0.174875760452895,-0.443944911404698
21,"Female","A-level (or equivalent)","Other","2","Labour","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,0.373599441351396,1.6137917861682,-0.711099143561654,0.35076386178548,-0.61273521267665,6,-0.707567328547404,0.75147380203735
25,"Female","Undergraduate degree (e.g., BA)","Black","7","Labour","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,-0.164773287130284,0.469453458655334,0.35076386178548,0.653457304943914,3.33333333333333,0.00112798586670993,0.368309484450557
24,"Male","A-level (or equivalent)","Mixed","11","No party","I voted Leave","control","Other",0.478411095681547,1.20587038402259,-1.60829096761465,-0.266041503411797,0.35076386178548,-0.61273521267665,5.66666666666667,-0.707567328547404,-0.257205825640622
19,"Female","A-level (or equivalent)","Black","1","No party","I was not eligible to vote, but would have voted Remain","control","Other",-1.12485768652899,-0.476248804454124,-0.164773287130284,1.27888711087707,-0.631210854979936,0.653457304943914,3,0.411588730106231,0.0841065831950797
28,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Other","7","No party","I voted Remain","control","Other",-0.346210927114368,0.460547865513442,1.6137917861682,-0.266041503411797,0.35076386178548,-0.61273521267665,4.33333333333333,0.906610295808507,-0.840650458004401
18,"Male","Undergraduate degree (e.g., BA)","Chinese","6","No party","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.164773287130284,1.32743659208942,0.35076386178548,-0.61273521267665,4.66666666666667,0.906610295808507,-0.229976772507822
20,"Female","A-level (or equivalent)","Black","1","Labour","I was not eligible to vote, but would have voted Remain","control","Other",-0.346210927114368,-0.476248804454124,-0.569873777763838,-0.266041503411797,0.35076386178548,-0.61273521267665,4.33333333333333,-0.235395323329264,0.440481649117151
25,"Female","Undergraduate degree (e.g., BA)","Chinese","2","Liberal Democrats","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,0.542226157630451,-1.43269617716106,0.35076386178548,-0.61273521267665,5.33333333333333,1.2012493209256,0.71985757444244
23,"Male","Undergraduate degree (e.g., BA)","Other","10","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.247447914764378,-0.758820588623685,0.35076386178548,-0.61273521267665,5.33333333333333,-0.0508624388201105,-0.345794717072796
30,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","White","5","Labour","I voted Leave","control","White",-1.1438648097804,1.2085476392682,0.542226157630451,0.469453458655334,0.35076386178548,1.23698157272214,5.66666666666667,0.231678464004934,1.51302502738189
21,"Female","Undergraduate degree (e.g., BA)","Chinese","8","No party","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,1.2085476392682,0.57025107322729,-0.304741160755354,0.35076386178548,0.653457304943914,3.33333333333333,-0.423893164514084,-1.18753996348727
27,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Black","11","Green Party","I voted Remain","control","Other",0.478411095681547,0.460547865513442,0.39131192602455,0.141657406557449,0.35076386178548,1.23698157272214,3.66666666666667,-0.171076826370267,0.75147380203735
55,"Male","A-level (or equivalent)","Other","1","SNP","I voted Leave","control","Other",0.478411095681547,-0.476248804454124,-1.34535842401841,-0.711099143561654,-0.72988822364663,-0.61273521267665,3.33333333333333,-0.635603532311199,0.71985757444244
18,"Female","A-level (or equivalent)","Mixed","2","Labour","I voted Remain","control","Other",-1.1438648097804,-0.476248804454124,0.980948052732125,-0.266041503411797,0.35076386178548,0.653457304943914,3.33333333333333,0.668590802306462,-0.840650458004401
24,"Male","Undergraduate degree (e.g., BA)","Mixed","4","Liberal Democrats","I voted Remain","control","Other",0.478411095681547,0.460547865513442,1.6137917861682,-1.43269617716106,0.35076386178548,-0.61273521267665,5.66666666666667,-0.707567328547404,0.75147380203735
19,"Male","A-level (or equivalent)","Indian","1","Labour","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,0.460547865513442,-0.569873777763838,-0.266041503411797,-0.72988822364663,0.653457304943914,6,1.2012493209256,-1.18753996348727
25,"Female","Undergraduate degree (e.g., BA)","Pakistani","4","Labour","I voted Remain","control","Other",-0.406090459737849,-0.476248804454124,-0.736540132608323,-0.758820588623685,0.35076386178548,-0.61273521267665,5.33333333333333,-0.423893164514084,0.75147380203735
23,"Female","A-level (or equivalent)","Pakistani","2","Labour","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,0.39131192602455,1.27888711087707,-1.49368278420392,-0.61273521267665,2.66666666666667,1.2012493209256,0.75147380203735
39,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Pakistani","2","Conservative Party","I voted Leave","control","Other",0.478411095681547,0.460547865513442,1.6137917861682,0.439060660820015,0.35076386178548,-0.61273521267665,3,0.668590802306462,-0.545723683660622
50,"Male","GCSE (or equivalent)","White","1","Labour","I was eligible to vote, but did not","control","White",0.478411095681547,-0.476248804454124,-0.569873777763838,-0.758820588623685,-0.631210854979936,1.43641623760841,4.66666666666667,-0.423893164514084,0.75147380203735
18,"Male","A-level (or equivalent)","Bangladeshi","5","No party","I was not eligible to vote, but would not have voted","control","Other",-0.346210927114368,-0.476248804454124,-0.40656918917133,0.109008854862144,0.35076386178548,-0.61273521267665,3.66666666666667,-0.230445590547,-0.163023990239364
23,"Female","Undergraduate degree (e.g., BA)","White","9","Labour","I voted Remain","control","White",-0.346210927114368,0.460547865513442,-0.658095163366384,-0.758820588623685,0.35076386178548,1.23698157272214,4.33333333333333,-1.95680751435798,0.75147380203735
23,"Male","A-level (or equivalent)","Other","3","No party","I voted Leave","control","Other",-0.346210927114368,0.460547865513442,0.810849997415703,-0.266041503411797,-0.836909460334576,-0.61273521267665,2.66666666666667,0.906610295808507,0.151786008504716
18,"Female","A-level (or equivalent)","Black","4","Labour","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.012674512737052,-0.758820588623685,0.35076386178548,-0.61273521267665,5,-0.707567328547404,0.440481649117151
25,"Female","Undergraduate degree (e.g., BA)","Indian","2","Labour","I voted Remain","control","Other",0.478411095681547,0.373599441351396,0.948385674243263,0.109008854862144,0.35076386178548,-0.61273521267665,4,0.906610295808507,0.0841065831950797
27,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Black","1","SNP","I voted Remain","control","Other",0.478411095681547,0.460547865513442,-0.276300476565677,-1.43269617716106,0.35076386178548,-0.61273521267665,4.33333333333333,-1.95680751435798,2.01819117897551
30,"Male","Undergraduate degree (e.g., BA)","Mixed","6","Liberal Democrats","I voted Remain","control","Other",0.478411095681547,0.373599441351396,1.6137917861682,0.80645351844387,0.35076386178548,-0.61273521267665,6,0.231678464004934,-1.18753996348727
20,"Male","A-level (or equivalent)","Indian","7","Conservative Party","I voted Remain","control","Other",0.478411095681547,0.460547865513442,-0.40656918917133,1.27888711087707,0.35076386178548,0.0954693109573851,5.66666666666667,0.906610295808507,-0.840650458004401
45,"Female","Undergraduate degree (e.g., BA)","Indian","10","Labour","I voted Remain","control","Other",-0.406090459737849,-0.476248804454124,1.6137917861682,-0.266041503411797,0.35076386178548,-0.61273521267665,3,-0.235395323329264,0.75147380203735
20,"Male","A-level (or equivalent)","Indian","6","Conservative Party","I voted Remain","control","Other",-0.346210927114368,0.460547865513442,-0.68875631400841,1.83093942035946,0.35076386178548,-0.61273521267665,6,1.2012493209256,-1.18753996348727
24,"Male","Undergraduate degree (e.g., BA)","Mixed","11","Liberal Democrats","I voted Remain","control","Other",0.478411095681547,1.93296067384537,-1.60829096761465,0.469453458655334,0.35076386178548,2.08509429149117,5,-0.423893164514084,0.0440916363199007
27,"Female","Undergraduate degree (e.g., BA)","Other","2","Other party","I was not eligible to vote, but would not have voted","control","Other",-0.406090459737849,-0.476248804454124,0.39131192602455,-0.758820588623685,0.35076386178548,-0.61273521267665,3.33333333333333,-0.423893164514084,1.51302502738189
19,"Female","A-level (or equivalent)","Indian","11","Labour","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.247447914764378,0.469453458655334,0.35076386178548,0.653457304943914,5.66666666666667,0.174875760452895,0.368309484450557
26,"Male","Undergraduate degree (e.g., BA)","Mixed","6","No party","I was not eligible to vote, but would not have voted","control","Other",-0.346210927114368,-0.476248804454124,-0.569873777763838,1.27888711087707,0.35076386178548,2.08509429149117,6,1.95210994755278,-0.723456133636216
45,"Female","Undergraduate degree (e.g., BA)","Black","9","Labour","I voted Remain","control","Other",-0.406090459737849,0.460547865513442,0.39131192602455,-1.43269617716106,0.35076386178548,0.653457304943914,3.66666666666667,-0.934074901068862,1.17064678122528
23,"Male","A-level (or equivalent)","Chinese","6","No party","I was not eligible to vote, but would not have voted","control","Other",-1.12485768652899,0.373599441351396,1.6137917861682,0.841543428125356,0.35076386178548,-0.61273521267665,3,0.174875760452895,0.0170567088308949
32,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","5","Labour","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,1.6137917861682,1.88513304419888,0.35076386178548,-0.61273521267665,5,2.6806920328248,-2.61545448327188
30,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","5","Conservative Party","I voted Remain","control","Other",-0.346210927114368,0.460547865513442,1.30114992120372,1.27888711087707,0.35076386178548,0.653457304943914,5,1.2012493209256,-1.18753996348727
26,"Male","Undergraduate degree (e.g., BA)","Mixed","1","No party","I voted Leave","control","Other",-0.346210927114368,-0.476248804454124,-0.569873777763838,-0.711099143561654,-0.72988822364663,0.0954693109573851,2,-0.496161302083024,1.13592995659057
51,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","2","Labour","I voted Remain","control","Other",0.478411095681547,1.2085476392682,1.6137917861682,-0.758820588623685,0.35076386178548,0.0954693109573851,5,1.2012493209256,-1.18753996348727
34,"Female","Undergraduate degree (e.g., BA)","Black","6","Conservative Party","I voted Leave","control","Other",-1.12485768652899,-0.476248804454124,-0.247447914764378,0.469453458655334,-0.836909460334576,0.653457304943914,2.33333333333333,0.60588091299883,-0.723456133636216
34,"Female","Undergraduate degree (e.g., BA)","Mixed","5","Labour","I was eligible to vote, but did not","control","Other",0.478411095681547,-0.476248804454124,0.13642880061627,0.109008854862144,-1.49368278420392,0.653457304943914,4.33333333333333,-0.235395323329264,0.440481649117151
28,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","5","Conservative Party","I voted Leave","control","Other",-0.406090459737849,-0.476248804454124,-0.247447914764378,0.80645351844387,0.35076386178548,-0.61273521267665,4.33333333333333,1.2012493209256,-0.723456133636216
33,"Female","Undergraduate degree (e.g., BA)","Pakistani","10","Labour","I voted Remain","control","Other",0.478411095681547,0.373599441351396,-1.34535842401841,-1.43269617716106,-1.49368278420392,-0.61273521267665,4,-1.95680751435798,1.05140130502643
39,"Female","Postgraduate degree (e.g., MA, MSc, PhD)","Black","6","SNP","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,1.6137917861682,0.469453458655334,0.35076386178548,-0.61273521267665,4,0.411588730106231,0.470034789417302
18,"Female","A-level (or equivalent)","Indian","8","No party","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,-0.476248804454124,0.542226157630451,-0.266041503411797,0.35076386178548,-0.61273521267665,5.33333333333333,0.00577532133344975,0.179364505373351
