age,gender,education,ethnicity,income,partisanship,eu_ref,k_scale_virus,k_scale_bacteria,k_scale_hot,k_scale_vaccine,k_scale_recover,k_scale_mosquito,k_scale_antibiotics,contact_scale_tested,contact_scale_confident,contact_scale_know_tested,contact_scale_know_passed,contact_scale_treating,numeracy_fractions,numeracy_discount,numeracy_useful,trust_understands,trust_intentions,trust_does_right,distrust_no_respect,distrust_ignore,distrust_unfair,time_on_page,worry_scale_contracting,worry_scale_unwell,worry_scale_fr_fam,worry_scale_finances,worry_scale_job,worry_scale_society,govt_perform_comm,govt_perform_advice,govt_perform_response,govt_perform_adapt,govt_perform_compared,govt_perform_protecting,restrictions_quarantine,restrictions_schools,restrictions_events,restrictions_hospital,restrictions_stop_flights,restrictions_quar_flights,restrictions_soc_dist,restrictions_mask_transport,restrictions_mask_indoors,behavior_hairdresser,behavior_museum,behavior_bars,behavior_public_toilet,behavior_public_transport,behavior_cinemas,behavior_abroad,behavior_worship,behavior_gym,behavior_public_gathering,manip_check,condition,residence,nationality,ethnicity_simple,know,contact,worry,govt_perf,restrict,behavior,numeracy,trust,distrust
19,Male,"Undergraduate degree (e.g., BA)",Mixed,1,Labour,"I was not eligible to vote, but would have voted Remain",0,1,1,1,1,1,1,0,1,1,0,0,2,4,3,2,3,2,3,3,3,NA,1,2,2,2,0,2,2,3,2,2,1,2,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,0.460547865513442,0.0148571350245476,-0.266041503411797,-0.72988822364663,1.43641623760841,3,-0.423893164514084,-0.163023990239364
31,Female,"Undergraduate degree (e.g., BA)",Mixed,11,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,1,0,0,2,4,3,1,2,1,4,5,4,NA,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,NA,control,NA,United Kingdom,Other,0.47841109568154694,0.460547865513442,0.542226157630451,-1.43269617716106,0.35076386178548,0.653457304943914,3,-1.48030703646599,1.05140130502643
30,Female,A-level (or equivalent),Mixed,1,Labour,I voted Remain,0,1,0,1,1,1,1,0,0,1,0,0,2,4,3,2,2,2,4,4,4,NA,2,3,3,2,0,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,NA,control,NA,United Kingdom,Other,-0.34621092711436813,0.460547865513442,0.980948052732125,-1.43269617716106,0.35076386178548,-0.61273521267665,3,-0.707567328547404,0.75147380203735
36,Female,"Undergraduate degree (e.g., BA)",Black,4,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,0,0,0,0,1,4,2,3,4,4,5,4,NA,3,3,3,3,3,3,4,2,2,2,4,2,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,1.6137917861682,-0.266041503411797,0.35076386178548,-0.61273521267665,1.66666666666667,0.406649230431018,1.05140130502643
18,Male,A-level (or equivalent),Black,9,Labour,"I was not eligible to vote, but would have voted Remain",0,1,1,1,1,1,1,0,0,1,0,0,6,6,6,4,3,3,2,2,3,NA,1,0,1,0,0,0,3,4,3,4,2,3,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,0.460547865513442,-1.03522129865336,0.80645351844387,0.35076386178548,0.653457304943914,6,0.352190160319605,-0.806158112485411
20,Female,A-level (or equivalent),Mixed,2,Liberal Democrats,"I was not eligible to vote, but would have voted Remain",0,1,0,1,0,1,1,0,0,1,0,0,5,5,4,3,4,2,2,3,4,NA,1,0,3,2,1,2,3,4,2,2,3,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,-1.124857686528995,0.460547865513442,-0.68875631400841,0.499905767924618,0.35076386178548,1.23698157272214,4.66666666666667,0.00577532133344975,-0.229976772507822
40,Female,"Postgraduate degree (e.g., MA, MSc, PhD)",Mixed,10,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,0,0,0,4,6,6,2,4,2,4,4,2,NA,1,2,2,1,1,3,3,3,1,2,2,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,0.0148571350245476,-0.758820588623685,-0.72988822364663,0.653457304943914,5.33333333333333,-0.171076826370267,0.151786008504716
35,Male,"Undergraduate degree (e.g., BA)",Indian,9,No party,"I was eligible to vote, but did not",0,1,0,1,1,1,1,0,0,0,0,0,6,6,5,3,3,3,3,3,2,NA,1,1,1,0,0,1,3,4,2,3,3,4,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,-0.569873777763838,0.841543428125356,0.35076386178548,-0.61273521267665,5.66666666666667,0.174875760452895,-0.443944911404698
20,Male,A-level (or equivalent),Indian,7,Labour,I voted Leave,0,1,0,1,1,1,1,0,0,0,1,0,5,6,5,3,4,4,2,3,2,NA,1,0,3,1,0,3,2,3,4,3,4,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,control,NA,United Kingdom,Other,-0.34621092711436813,0.373599441351396,-0.68875631400841,0.841543428125356,-1.49368278420392,-0.61273521267665,5.33333333333333,0.906610295808507,-0.840650458004401
20,Male,A-level (or equivalent),Black,4,No party,I voted Remain,0,1,1,1,1,1,1,0,0,0,0,0,6,6,6,2,4,2,3,2,2,NA,1,1,1,1,0,0,2,2,4,3,3,4,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,NA,control,Poland,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-0.569873777763838,0.841543428125356,-0.631210854979936,0.653457304943914,6,-0.171076826370267,-0.723456133636216
19,Female,A-level (or equivalent),Black,4,Labour,"I was not eligible to vote, but would have voted Remain",0,1,0,1,1,1,1,0,0,0,0,0,5,6,5,2,2,1,5,5,5,NA,3,2,3,1,0,3,2,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,0.948385674243263,-1.43269617716106,-0.631210854979936,1.23698157272214,5.33333333333333,-1.23103345450765,2.01819117897551
23,Male,"Undergraduate degree (e.g., BA)",Indian,2,Conservative Party,I voted Leave,0,1,0,1,0,1,1,0,0,0,0,0,4,6,4,4,4,4,1,1,1,NA,2,1,3,2,3,3,5,4,5,4,4,4,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-1.124857686528995,-0.476248804454124,0.13642880061627,1.27888711087707,-0.72988822364663,0.0954693109573851,4.66666666666667,1.2012493209256,-2.61545448327188
30,Female,"Postgraduate degree (e.g., MA, MSc, PhD)",Mixed,7,Green Party,I voted Remain,0,1,0,1,1,1,1,0,0,0,0,0,3,5,4,4,4,4,3,3,2,NA,3,2,3,2,1,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,0.948385674243263,-0.266041503411797,0.35076386178548,-0.61273521267665,4,1.2012493209256,-0.443944911404698
24,Male,"Postgraduate degree (e.g., MA, MSc, PhD)",Chinese,3,Liberal Democrats,"I was eligible to vote, but did not",0,1,1,1,1,1,0,0,0,0,0,0,6,6,6,2,2,2,4,4,4,NA,1,1,1,1,0,2,3,3,1,2,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-0.569873777763838,-0.758820588623685,0.35076386178548,0.653457304943914,6,-0.707567328547404,0.75147380203735
28,Female,"Undergraduate degree (e.g., BA)",Black,6,Labour,I voted Remain,0,1,0,0,0,1,1,0,0,1,0,0,3,4,5,1,2,3,5,5,5,NA,0,2,2,2,2,3,2,2,1,2,2,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-1.8625505167009841,0.460547865513442,-0.377018540842986,-0.266041503411797,-0.72988822364663,-0.61273521267665,4,-0.429307084664128,2.01819117897551
27,Female,"Undergraduate degree (e.g., BA)",Black,4,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,0,0,0,1,3,2,2,4,4,4,5,4,NA,1,1,2,2,0,3,2,4,2,2,3,3,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-0.40656918917133,0.141657406557449,0.35076386178548,-0.61273521267665,2,0.668590802306462,1.05140130502643
